,CBG_id_v,Income_v,Wp_v,Pbb_v,Upp_v
2540,G48020102522023,76150.56223175966,0.3392542218386377,0.208567094440862,0.0473249301402863
2541,G48020102324041,65267.02215189873,0.3004792049902532,0.1888545449946094,0.0544193626165715
2542,G48020102323042,62057.7914244186,0.2462292232948258,0.1960412152814163,0.0570324756311787
2543,G48020102526022,76237.57692307692,0.4053585226835466,0.2162953472285568,0.0461872025058291
2544,G48020102323062,64004.93178036606,0.2683001794551538,0.2004811014128359,0.0583122417621793
2545,G48020102522022,75554.22035573123,0.3700430782151792,0.2155634074951712,0.0495368154434261
2546,G48020102312001,56326.48073394496,0.2211110292280952,0.1799112751534805,0.0572313772396468
2547,G48020102323063,67503.34799235182,0.2746791216793453,0.21193057052718,0.0542757428705132
2548,G48020102323061,62953.52286585366,0.237344373358595,0.201191123476349,0.0586105372497875
2549,G48020102323041,59123.71452420701,0.2040500130394042,0.1857917028323483,0.0617096732411053
2550,G48020102323052,62987.18228498074,0.2249148705744321,0.193853741640653,0.0584783392068845
2551,G48020102528002,81851.03537638832,0.4642183081351646,0.223201931652008,0.0470631495958124
2552,G48020102522021,72980.6883886256,0.3692319557091986,0.2101630340495675,0.0496450047362019
2553,G48020102323053,62016.51552795031,0.2356730467807335,0.1975298754365653,0.0543038114654566
2554,G48020102528003,82499.16651825467,0.4937345912286144,0.2117915869581411,0.0458268327622701
2555,G48020102323043,61046.25369738339,0.2352760822236443,0.2094758994944766,0.0544259795025316
2556,G48020102528001,83916.76670317634,0.5213493177653283,0.2160943853482777,0.0490449399845683
2557,G48020105217011,70935.55912007333,0.3122569667613096,0.2842522592814089,0.0419788838209923
2558,G48020105320042,61210.06854130053,0.2749563660798352,0.2508758608890705,0.0443305681153967
2559,G48020105322002,61402.789371980674,0.2740213522880441,0.2449005980353659,0.0427656125822402
2560,G48020105218001,88089.31898029134,0.362658973227477,0.3417525729322464,0.0400856142375757
2561,G48020105318001,63070.47302158274,0.2692271705316701,0.2391557141929386,0.0428323184541416
2562,G48020105216002,78345.92985611511,0.3409923407680386,0.2971598289031456,0.0433180956643426
2563,G48020105323022,67579.73630387144,0.2881385001938664,0.2651340790865092,0.042529146926107
2564,G48020105323021,75299.94759825327,0.3295591377321166,0.2941694985616032,0.041140366625891
2565,G48020105319003,61678.8256684492,0.2593146740630875,0.2311096013168359,0.0490109553133793
2566,G48020105320043,55799.97953964194,0.2517749761409563,0.2174769320244944,0.0463878085731764
2567,G48020105422032,88145.60243902438,0.2912200724078292,0.319491808383798,0.042243052867507
2568,G48020105405021,86277.15085158151,0.333670770732596,0.3055861266655622,0.0450234955249649
2569,G48020105421033,89755.94835007173,0.3086345820164605,0.3330023379977673,0.0400615477241731
2570,G48020105422022,94695.20191649556,0.3559205915453584,0.3731048390941044,0.0391145216464483
2571,G48020105415001,88306.5394295302,0.3118197790097484,0.3234660147725283,0.0481111701029884
2572,G48020105414022,85895.32730263157,0.303430131719076,0.3203231082693587,0.0423928511124447
2573,G48020105414021,84413.92532467532,0.2853032882594431,0.3060642853078686,0.0566427807943259
2574,G48020105414012,84048.30218978102,0.3211471704956769,0.3176385800145715,0.0481850704687069
2575,G48020105414031,88208.24542124542,0.3087432012917031,0.3104691522506677,0.0516674088960845
2576,G48020105405042,84683.5825192802,0.3170455194160463,0.3159452251514035,0.0485883350589678
2577,G48020105421053,86104.44241037375,0.2897907361605063,0.3055855114021099,0.048376292277109
2578,G48020105401011,100810.6210465785,0.3611718608029712,0.3700136974636879,0.03602658471124
2579,G48020105422033,85630.9289392379,0.3414438587493645,0.3488599170371876,0.0426768594410776
2580,G48020105407002,94127.55794701989,0.34871068372317,0.34285970498311,0.0337155185452779
2581,G48020105415002,87517.66925638179,0.3063986446466551,0.3210274206050253,0.0491411122408049
2582,G48020105421052,86667.87991333952,0.290790601851728,0.3056522139222517,0.0434726503350656
2583,G48020105405032,82772.3629675046,0.318203240261849,0.3177528094751717,0.0489190145735101
2584,G48020105414011,85722.85565882997,0.3104440629463755,0.3181565681815286,0.0463809756349153
2585,G48020105421032,84947.41156069364,0.2952457736931339,0.3107755836120434,0.0508360081251269
2586,G48020105405031,82404.42437591776,0.3228410167221126,0.3106118495209659,0.0455396803395829
2587,G48020102213022,52341.3250327654,0.2595001841579324,0.119593119356927,0.0315772601186758
2588,G48020102307001,48527.36875,0.1915096096378463,0.1529059754061543,0.0548882804484149
2589,G48020102211002,52946.58198614319,0.2583720689202425,0.1376862047378521,0.0366318680587196
2590,G48020102315002,52891.27969348659,0.1935830291633004,0.1754189228221143,0.0552316948484964
2591,G48020102214003,62178.05882352941,0.2907557939260174,0.2123772697980278,0.0375985236642516
2592,G48020102213012,51310.72413793104,0.2533860751754961,0.1345927154206409,0.0384766831197718
2593,G48020105308002,55929.66761768902,0.2206492197280594,0.2108724086342907,0.0471135798037249
2594,G48020102305001,54129.11516034985,0.2362917941373866,0.1571072798136343,0.0488986629375027
2595,G48020105308001,58826.09425014819,0.2572278797670247,0.2139635544370788,0.0447653508724257
2596,G48020102316002,51378.32200647249,0.1990499193876227,0.1663171324348657,0.0551539427989376
2597,G48020105320041,67926.82828282828,0.2870675652784648,0.2717899267764361,0.0419040664750059
2598,G48020105323012,75296.01723484849,0.3274987228761705,0.291578962779444,0.0417717133083855
2599,G48020105322001,66315.21130551817,0.2745690869588311,0.2469470718027081,0.0451909331287502
2600,G48020105320031,58581.73487423521,0.2378407882686426,0.2142575753512939,0.0455310761065771
2601,G48020105401012,100412.24326923076,0.3903793059779175,0.397245378122201,0.0387667400271795
2602,G48020105319002,57336.174041297934,0.247535762612424,0.2340066415070575,0.0482562469873299
2603,G48020105320032,58396.39248434238,0.2315686951400052,0.2148665670202095,0.0481751677920669
2604,G48020105323023,68652.4421534937,0.2932596207080145,0.2622954763188874,0.0402928257911366
2605,G48020105323013,72715.79829545454,0.2925011517218586,0.2997321162330185,0.0375865209296934
2606,G48020105217013,82544.87388870596,0.3545813298180229,0.3203957377839143,0.0410100035613595
2607,G48020102212002,50523.79253731344,0.2659708003022393,0.1265180657730147,0.0344796180099926
2608,G48020102212003,51611.91353754941,0.2522053420439222,0.1300169375925067,0.0368885129628862
2609,G48020102314001,55839.52752293578,0.2197332355646994,0.1825869422019501,0.0542313321373969
2610,G48020102315001,55201.97142857143,0.2011388678450042,0.1834374846841103,0.0562063598246996
2611,G48020102316001,52461.5736677116,0.2027319294639745,0.1669280084068657,0.049177150861896
2612,G48020102313001,54317.351941747576,0.2201270827127049,0.1876730812396453,0.0545691627431058
2613,G48020105307011,59259.53221141204,0.2706702240164974,0.1988570768714549,0.041599573618269
2614,G48020102215012,58084.28100987925,0.2701934745785138,0.1763516428182817,0.0375072019034337
2615,G48020102215011,52395.36570172224,0.2498629724648954,0.1396007644265811,0.0384223276833316
2616,G48020102212001,52929.09653297077,0.2636485964915548,0.139678717107056,0.0362423438494309
2617,G48020105414013,85237.89355322339,0.2961740998958759,0.3289205667139929,0.0510176442665794
2618,G48020105421031,86180.88048016702,0.2845690042209766,0.3041016302611338,0.0506123469114737
2619,G48020105407003,96310.34039334342,0.3448735889817934,0.3531477950382028,0.0371836125698809
2620,G48020105406011,87644.75650406504,0.3172833967611604,0.3141853062411799,0.0448204471499114
2621,G48020105414043,83646.77591973245,0.3049220190666921,0.3126332533220179,0.0459840411507796
2622,G48020105414042,86583.87372860333,0.3145567214047143,0.3218298875945803,0.0477577349895685
2623,G48020105414041,87204.8395256917,0.2907915330595932,0.3127778904106155,0.0473157085764741
2624,G48020105422011,86029.48354626403,0.292753051382589,0.3117013803820408,0.0445359156570308
2625,G48020105422031,90911.68545560748,0.3130388208473966,0.3336694891284519,0.044208520114818
2626,G48020105421063,86235.99463253509,0.2899153898308749,0.302687111447036,0.0437122641175724
2627,G48020102211001,53266.56492842536,0.2645368870334884,0.1436072762667421,0.0377673518384934
2628,G48020102210001,50711.08155339806,0.2450420834531297,0.1282874429000301,0.0383701787199428
2629,G48020102312003,54129.66071428572,0.212727658502031,0.1827011038781221,0.0599333830954472
2630,G48020102215021,57647.83463203463,0.266831359845794,0.1846072988107633,0.0415104953761555
2631,G48020102215022,53034.04587155963,0.2538846261918759,0.1385198939380384,0.0372202627388381
2632,G48020105333012,53995.5447042641,0.2137818013668871,0.1896371994540407,0.0506165063606883
2633,G48020102212004,50367.6523929471,0.2471468602431234,0.1229091313271893,0.0374822817217734
2634,G48020102220001,53324.80223602484,0.2462533351034244,0.147892206081204,0.0436214595810775
2635,G48020102317002,58387.504617278886,0.2610204797157271,0.177059835839085,0.043822026241385
2636,G48020102318001,52885.90873786408,0.2026841438186378,0.1644744108788045,0.054610238157434
2637,G48020105323011,70829.44362745098,0.2875270139130683,0.272563341805349,0.0379225881567983
2638,G48020105401021,96622.878990228,0.3865417556861583,0.3748528787307128,0.0378030283962354
2639,G48020105332003,55521.72966507177,0.2112680437775959,0.2145093907528457,0.0468256568926978
2640,G48020105332002,58939.255192878336,0.2244726978570838,0.2134852035548973,0.0458497906571123
2641,G48020105332001,60206.21146085553,0.2373340545043852,0.218673168439196,0.0453463794748744
2642,G48020105332004,59218.39340659341,0.2349138283793109,0.2248081666685497,0.0453166253549749
2643,G48020105324002,66235.97179878049,0.2624268521874189,0.2304185847741849,0.0454710668450569
2644,G48020105324003,69272.15789473684,0.2847942975269889,0.2613607804111992,0.0402354158394737
2645,G48020105324004,77804.30934579439,0.3058391003770599,0.2795336708150692,0.0394413969863392
2646,G48020105342031,84671.18570889895,0.3584754934091942,0.327428576614426,0.0409883630012171
2647,G48020105401023,98642.32905544149,0.3581277977506465,0.3654598740096769,0.0390955546674798
2648,G48020105413022,84534.46953046953,0.2975669825998545,0.3134691535314396,0.0477401227711833
2649,G48020105421081,86340.7768361582,0.27129236720054,0.2958495895433005,0.0526345114749595
2650,G48020105421082,87017.7673716012,0.2842392737778799,0.2975641572806256,0.0427456897336048
2651,G48020105421072,86695.31438998957,0.3016303521437238,0.3076756686561354,0.047912368072821
2652,G48020105421084,82370.72685185185,0.2655566600036353,0.2941620761187757,0.0530910787345307
2653,G48020105413021,85690.50816993463,0.2861444713276976,0.3002137690493083,0.0485874076838928
2654,G48020105406022,89970.38043478261,0.3183003645736989,0.3073233896306431,0.041017222336458
2655,G48020105413012,88356.53723525393,0.3179470424946537,0.3245274588412424,0.0463945238684957
2656,G48020105406023,90509.88324258925,0.3367066673675483,0.3400049578289372,0.0432448193998855
2657,G48020105407004,94337.58809683927,0.3551704007860339,0.358367482027269,0.0394566108546344
2658,G48020105401022,91791.28786764706,0.3511651612383011,0.3418893541736698,0.040234908806301
2659,G48020105413024,81490.20078740157,0.3091767963273949,0.2839485832992015,0.0520904806925242
2660,G48020105422012,80019.62560386474,0.3128805937936342,0.2876214486507916,0.0394458090791282
2661,G48020105406024,88258.18268398268,0.3175584689763182,0.3209229543446395,0.0447363352536401
2662,G48020105421061,89059.79561101549,0.3099448904080715,0.325070170620007,0.0469531407126347
2663,G48020105413013,89511.73241467713,0.3320858071349125,0.3323543700531002,0.0433937794779474
2664,G48020105413011,85771.71810699589,0.3134513334734665,0.3191356613660628,0.0484961326990433
2665,G48020105421071,88590.20974576271,0.3186352255155056,0.3261510221175634,0.0444131368384695
2666,G48020105413023,87999.7245155855,0.3203562326185075,0.3252626628655855,0.0459298508652109
2667,G48020105327003,64168.21897810219,0.2501644880499559,0.239480858253133,0.0434381360135074
2668,G48020105328001,60691.559849704776,0.2462702635059151,0.2223047444144885,0.045314198489521
2669,G48020105334021,58442.7559566787,0.2257380389828964,0.2004503977778577,0.0473125157228408
2670,G48020105327002,61652.69367909238,0.2526408718027408,0.2278497833175254,0.0460614703876588
2671,G48020105331001,57924.23865546218,0.230156973585745,0.2145433989417114,0.0456262988407287
2672,G48020105331003,64635.86363636364,0.2465221845885657,0.2293386776348528,0.0441232097594973
2673,G48020105324001,65221.64364640884,0.2601652308865861,0.2319103271453644,0.043838758250513
2674,G48020105331002,61903.05771144279,0.2314448835121464,0.2127880858846662,0.045736398724822
2675,G48020105327001,61184.19286871961,0.24171502170367,0.2241192967475335,0.0440584616752208
2676,G48020105325041,76603.2776801406,0.3087335654202185,0.2782677902700293,0.0435290091070087
2677,G48020102217012,52387.716694772345,0.2466039239269772,0.1328203019023062,0.0381658936653968
2678,G48020102217013,56705.916710319536,0.267596711321647,0.1542208317242974,0.0399036108051776
2679,G48020102216022,58699.51650090416,0.2671472853081852,0.1854254333715896,0.0417851638796761
2680,G48020105333011,59154.7732134176,0.2599112285001141,0.1968855035833183,0.0430353638885711
2681,G48020105333023,54951.92964071856,0.2115830062543282,0.1897722849199608,0.0495027015343932
2682,G48020102218001,52487.386199794026,0.2586438290800791,0.1370165949771679,0.037827249667638
2683,G48020102219003,51111.37094017094,0.2488721525328967,0.1240962042513857,0.0378517568451602
2684,G48020102319003,53261.8393442623,0.2001290207314139,0.1712159468480436,0.0488855462303816
2685,G48020102221001,54422.22794396062,0.2522640829657938,0.1519083173783328,0.0416807151428603
2686,G48020102216021,52838.44835164835,0.2530753398521471,0.1385035754042307,0.0411658448848594
2687,G48020105422013,90455.08420175072,0.3288978974872802,0.3301604166356488,0.042513983091531
2688,G48020105406021,90509.94859813084,0.3349765188928504,0.3331529821223727,0.0447891933181756
2689,G48020105421083,88708.92361111111,0.3032549564277583,0.3166169665412353,0.0473672128386276
2690,G48020105421062,86565.53755215577,0.2940985971275968,0.3166068851801792,0.0486599825520775
2691,G48020105413025,78832.13148788927,0.3055561146121126,0.2612953094273448,0.0437485658101192
2692,G48020105408002,92052.80320906088,0.3469656063260468,0.3486723612106385,0.0397582358537262
2693,G48020105430102,90386.93313373254,0.3234512713015586,0.3315173327901229,0.0436782804417537
2694,G48020105430083,89109.13173652695,0.3231891728226129,0.3356007228936032,0.0436186106593866
2695,G48020105412041,85509.44307091738,0.3164305426642018,0.3187796652235038,0.0467969207817382
2696,G48020105430091,89885.02275769746,0.3175018012255253,0.3350883787552474,0.044453488239423
2697,G48020102317001,58221.62490421456,0.2634769297414506,0.1780055219259758,0.0427068718784035
2698,G48020102219002,50724.22632423756,0.2514690793141078,0.1237205096750606,0.0342064764593274
2699,G48020102217011,53307.47472256474,0.2525599945501194,0.1345999378407764,0.0399448014787993
2700,G48020102318002,53183.60929772502,0.2184667034076048,0.1674676434745157,0.0463735823242177
2701,G48020102319004,54910.74520547945,0.2089546250397468,0.1766406999718202,0.0512802642337959
2702,G48020102319002,57118.27118644068,0.2318255623522246,0.1818281014979525,0.0519034381499668
2703,G48020102221003,53994.01152073733,0.257692302186865,0.1359698613645247,0.0385512722174652
2704,G48020102216023,59994.397876643074,0.2770237391995837,0.1872864242915997,0.0423426333034606
2705,G48020105333022,57234.27393617021,0.2284937419622053,0.183161962918403,0.0520349356716962
2706,G48020102218003,52992.07929515419,0.2557860216134497,0.1342519151322342,0.0372630045704946
2707,G48020105325023,69921.95454545454,0.2742928755687547,0.2263028756702355,0.0451613547008221
